track_id,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
34XYMzu7cmqQjItV8mJ77m,Para dos,0.633,0.219,-11.805,0.0887,0.72,0.692,0.113,0.537,118.814
60an8Fb1pH1MniTxTlo2l9,Bloco do Carro Chefe,0.818,0.486,-7.006,0.394,0.0996,0.0,0.0437,0.637,113.192
5FPnjikbwlDMULCCCa6ZCJ,Daughters,0.674,0.413,-7.816,0.0274,0.836,1.95e-05,0.098,0.503,124.893
5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,0.872,0.588,-6.276,0.0492,0.275,0.0,0.17,0.93,142.004
2Fc99kfkQ1S2RilXcd6xIU,Quieren Efectos,0.553,0.773,-6.446,0.0343,0.173,0.865,0.185,0.597,96.617
47bweAQBrsV1Vi3hDmEIAo,Boozed - Edit,0.462,0.978,-4.089,0.0951,0.0569,0.42,0.168,0.33,168.624
5i7s3sB1LzxeVz8CWVEpAO,Talking Body - The Young Professionals Remix,0.651,0.579,-8.023,0.0379,0.00166,0.000397,0.0794,0.443,138.993
6xwqmrEshHeFlVI3hrc685,Penurias,0.329,0.596,-11.17,0.0569,0.0179,0.00102,0.267,0.413,167.831
21excOPd45gzWN8zCt8Vhw,Angels From The Realms of Glory,0.523,0.322,-8.957,0.0285,0.535,0.0,0.132,0.3,126.002
39NkxITdhS5BPBZ3ma2CTM,"My Hawai'i (feat. Sean Na'auao, Kaumakaiwa, Kumu Hina)",0.726,0.593,-7.138,0.0851,0.284,0.0,0.527,0.857,139.924
14nEPCQLWtMqV4uE1cRHFv,Vida Eterna,0.31,0.884,-4.088,0.0488,0.000301,0.0,0.177,0.314,75.023
1gexiILoiAONdvcXlzVQeE,Ego Sum Deus,0.636,0.538,-6.921,0.0324,0.00126,0.881,0.123,0.0388,115.983
0mljrVHFeq2qgThql44LcI,Tô isso aqui pra te beijar - Ao Vivo,0.537,0.761,-6.194,0.0741,0.543,0.0,0.472,0.705,165.984
59wlTaYOL5tDUgXnbBQ3my,A Moment Apart,0.515,0.663,-7.896,0.0328,0.179,0.668,0.494,0.0756,120.024
2Qud6Q1KlK22qHcjUGlRpJ,Sueltate Mah,0.662,0.785,-10.159,0.203,0.614,0.0,0.106,0.797,180.108
2Pp9osgyIcw6o1avfDDDhH,Forever Young,0.592,0.961,-1.807,0.096,0.0423,0.0,0.0882,0.508,109.826
4xu38KnbRHbRHRwdg4KFul,Box Fan Long Loop For Sleep,0.0,2.03e-05,-25.556,0.0,0.145,0.213,0.114,0.0,0.0
3oRP6yGs5d0kFpGRRzzaS8,因為你 所以我,0.47,0.685,-6.896,0.0363,0.188,0.0,0.112,0.488,152.103
19ZjBzxJ5ARxbln6Qmw1AN,"Corrina, Corrina",0.481,0.413,-8.688,0.0326,0.798,1.61e-05,0.0817,0.681,127.591
3CmUas41TD2t8EGNZ85J9f,"Happy Holidays, You Bastard",0.409,0.99,-2.084,0.115,0.02,0.0,0.513,0.962,172.715
0y4iXXlpVFJSQjlx0vQ3MZ,Forever,0.763,0.457,-14.629,0.0539,0.796,0.414,0.108,0.0384,117.996
3F5DccNp39Waj4QjZBUPGO,"Messiah, HWV 56 / Pt. 2: XLII. ""Hallelujah""",0.434,0.262,-12.874,0.0286,0.959,0.6,0.141,0.256,103.015
7Afr3PKTtlFGHGiXYgnv6P,I Like You,0.624,0.334,-11.89,0.0391,0.321,3.27e-06,0.113,0.397,157.92
0qjux3nULEYN7Yz9jijgWz,GTA 2,0.627,0.652,-8.545,0.122,0.214,0.0,0.0767,0.487,160.089
5f5DBTOW5Y6wPiKTVcYVkg,Superlove,0.753,0.809,-8.268,0.0637,0.317,0.0076,0.141,0.409,119.991
5jyPgh9K0YlyhlVGQzFsbO,On Repeat,0.609,0.801,-8.483,0.0694,0.0246,0.00255,0.37,0.202,122.958
6Gx3Ry4ORogdMibbdITOuN,Dhadak Title Track,0.375,0.312,-10.656,0.031,0.85,0.00988,0.137,0.22,77.527
34a89MbC7QXsUsLkljLgXX,Free Fallin',0.619,0.504,-11.562,0.025,0.0614,0.0,0.06,0.568,84.335
3zPVG3y3rEzyixSFhe3XYu,Andorinha Machucada / Tudo de Novo / Pense em Mim (Ao Vivo),0.415,0.501,-7.232,0.0361,0.83,0.0,0.242,0.306,114.579
4YXKKnIZuk7UtXH5oC0ffa,Lucille,0.676,0.708,-12.115,0.0698,0.592,0.000307,0.166,0.919,143.669
089tprIgsyFSOrZpugamLI,Blame,0.624,0.68,-7.285,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
3RVKeAie8vdadw5r1PPBx5,(Evil Hearted Me) Downright Evil,0.593,0.865,-10.227,0.0378,0.719,2.29e-05,0.303,0.969,157.96
7u1S5QZSwrWyNczrN9IAKR,Doiloi,0.343,0.129,-14.82,0.042,0.988,0.174,0.141,0.0371,124.396
08r6N5mPmFMLhaXRZVfUbB,If You'Re Smart,0.571,0.873,-11.995,0.0732,3.25e-05,0.74,0.373,0.0894,179.841
5YLHLxoZsodDWjqSgjhBf3,Myself,0.745,0.561,-5.513,0.072,0.465,1.12e-06,0.0338,0.902,195.918
1mVn6LE3NukwuP1uAixzgT,When Worlds Collide,0.56,0.903,-4.77,0.0754,0.00132,0.0,0.291,0.581,143.821
4zjuPxRdniuN7LZzI5aQNA,Memory Cascades,0.562,0.343,-20.924,0.0419,0.508,0.89,0.16,0.254,81.691
0CkwGzywZ3js4Hcmb0RkQn,Heavy Metal Love,0.768,0.767,-8.06,0.0358,0.194,0.0,0.121,0.457,125.029
2Yj1sRA7UENRp7p6tt8E1k,Break Ups Suck Ass,0.605,0.327,-7.659,0.037,0.866,0.0,0.125,0.608,179.839
6OEHLXWw1PDfhbJLbNRi94,Make Me Happy,0.713,0.639,-5.769,0.05,0.423,0.0,0.129,0.944,92.072
2B5a8L30R9vk3F9clonX5g,Vuela paloma,0.668,0.374,-8.232,0.0288,0.788,0.0,0.29,0.669,113.108
3AO4zBhbT0E8hxb9HMSmbM,Obama and Hitler!,0.705,0.555,-7.811,0.941,0.653,0.0,0.649,0.661,116.073
6LFXmq8DuXrxoyrPz7c5Lw,Ponto Final,0.657,0.829,-5.596,0.0673,0.276,0.0,0.207,0.569,117.029
4UDmDIqJIbrW0hMBQMFOsM,Stayin' Alive,0.707,0.535,-19.793,0.0436,0.113,0.00615,0.0884,0.641,103.644
4RShNT9cGPE2jnrO82Ma0I,Little Jack Horner - Original Mix,0.495,0.137,-17.15,0.0468,0.968,0.946,0.109,0.271,139.73
0Y2v82GQsomVCqnfWpRSg5,"Dois Amores, Duas Paixões",0.496,0.727,-4.378,0.0427,0.237,0.0,0.422,0.501,166.068
3iRKwxW8ZDjmL9nKk3nisz,Jaiye Foreign,0.82,0.816,-6.29,0.077,0.0216,7.81e-05,0.0541,0.861,108.98
1HGtTmgl1sEycuS9lJviWQ,dooriyan,0.735,0.593,-7.473,0.0885,0.731,0.178,0.135,0.475,160.07
69Yia3qCLw6N9U80WhLwLn,Voice of the Soul,0.158,0.572,-6.293,0.0346,0.000926,0.893,0.144,0.347,79.176
73rQVihYf9bPXflrJiesqF,Ressuscitou (Resurrecting) [Kemuel Nation],0.413,0.509,-8.439,0.0292,0.326,0.0,0.116,0.222,148.055
7G4FH6SEh9wgDRztDi3cDE,Utan att förstå,0.663,0.733,-5.09,0.0298,0.00878,9.01e-06,0.108,0.741,107.967
44Lv3y1OHRM7r8vuEAGTkW,Liebe ist ...,0.631,0.8,-4.179,0.101,0.107,0.0,0.373,0.782,156.941
5d4MvCqMJUgoVVCz16tvlD,再見二丁目,0.645,0.3,-10.282,0.0362,0.815,0.0,0.115,0.214,143.928
3JCcBtwNldEBd3O4hqYDWI,No Me Arrodillo,0.81,0.542,-7.146,0.415,0.102,0.0,0.113,0.376,164.151
0fGDKi4UeXx8CypAvJdAj6,F***k Orgus (Dance) - Dr. Rude Remix,0.842,0.867,-6.886,0.364,0.00892,0.74,0.256,0.587,147.011
0NmnFMWMkTETNANGpVVqyc,Wasteland,0.563,0.836,-3.901,0.0903,0.108,0.0,0.243,0.657,141.923
6HhdFRM9un1Ojpz1A98pVi,If We Ever - 2018 Remaster,0.542,0.875,-4.285,0.0507,0.000356,0.31,0.359,0.114,172.973
5YRzeFvIc4yNhpzDcLKWvE,Bossy,0.914,0.723,-6.193,0.138,0.196,0.0,0.216,0.335,95.0
5mq2tutI68FRDD8CiYOsYS,Growing Up Beside You,0.504,0.51,-10.79,0.0415,0.771,7.61e-05,0.0766,0.0834,95.182
3B0hzwc1e8AYOytj9hZS2I,ULTRAnumb,0.439,0.915,-7.078,0.0745,0.000184,0.000899,0.326,0.34,91.993
1aesK4KrWp8IF3jtRdA3WJ,LOVE THAT WAS LOST - Remastered 2022,0.741,0.519,-11.103,0.0259,0.215,0.00205,0.319,0.899,107.882
5fIWOnufnkAtDp9SDqRMD3,Hansnuhana,0.528,0.427,-12.304,0.0548,0.27,2.18e-05,0.105,0.307,133.127
4K2NuhUFmcQbaepaAzHGdP,Sonate IV Opus 180 Pour Violoncelle Et Piano - 3ème Mouvement,0.254,0.104,-19.932,0.0524,0.986,0.716,0.152,0.0378,84.693
1g4C1BrGd4O1Dt5y0xue96,Renaissance (Edit),0.458,0.981,-1.65,0.0518,0.0573,0.0363,0.172,0.143,173.882
6Sk0prnnRQ1SYTSDGxa92x,Pessoal Particular (Ao Vivo),0.634,0.859,-5.832,0.0567,0.539,3.2e-05,0.693,0.64,112.942
5z6YX4XnUd06mWDQc7rF10,Desmond Kids Jams Theme Song,0.656,0.678,-5.615,0.365,0.532,0.0,0.0308,0.718,65.77
09H6lkpmYJYeDaEKvoXcoZ,Thaazhe Nee Tharame,0.509,0.475,-8.994,0.0382,0.506,0.00383,0.168,0.173,135.31
5Z2iVSDPvCScP5M5atIt5v,Planet Zero,0.416,0.964,-2.967,0.112,2.35e-05,0.000875,0.473,0.212,157.925
7mzU3O4ixZNhShH6SrCInw,Anthracite,0.64,0.459,-8.439,0.25,0.448,5.75e-05,0.107,0.14,100.071
5mfyiAYTK4MxWq2elg1Kpv,Sendero Siniestro,0.193,0.995,-4.893,0.18,4.29e-06,0.0737,0.0486,0.0743,109.837
6nSnDI2EvwXocgjj6hwQRv,死の舞踏,0.213,0.159,-13.897,0.0366,0.715,0.914,0.101,0.0373,143.35
1cQI15E52Yqrg7r2Kp2Fzu,Crazy Arms,0.61,0.287,-9.551,0.0281,0.676,0.0,0.134,0.701,117.626
0w4Sf61CbM69gDD7RVmaBD,爸爸媽媽,0.67,0.507,-6.551,0.0316,0.699,0.0,0.161,0.258,101.921
4Du0BRUJvKybzxcRplp7HF,Leave Before The Lights Come On,0.365,0.887,-4.579,0.0417,0.00272,2.18e-05,0.0923,0.916,150.718
2sWP5BvD2gcT32MpMAhkRU,Thank You Note,0.637,0.705,-7.546,0.0502,0.121,0.0,0.0857,0.553,158.013
12b3bKEbdjtL1Ga0n3ybzK,Phutki Jaaney Jovan,0.46,0.521,-8.022,0.0274,0.65,0.0,0.256,0.599,149.945
7rJrFX4RyhDJNV9nQIPw0y,O que combina comigo é você,0.669,0.671,-8.135,0.0276,0.448,0.0,0.472,0.753,131.996
6lio8qS8M1XBGV3fYb8ZS5,Sunyata,0.682,0.462,-11.505,0.0388,0.913,0.212,0.107,0.529,96.054
6KHsTu4Ht4XYiWcZOOdwbW,Chop (Nouvelle École),0.745,0.801,-6.545,0.724,0.439,1.13e-06,0.519,0.486,143.011
0M88JRtpXQK8i2XP0WX8jO,Fuck The Millennium,0.548,0.999,-4.937,0.0947,0.0501,0.0128,0.978,0.0878,145.0
1yoMdigYCXY5UrhTbGNEJp,Don't Let Me Be Misunderstood,0.673,0.712,-7.858,0.0273,0.159,0.0,0.183,0.912,113.061
1Ib8I0IUoeRdLk6IKMLenk,Nur zu Besuch,0.508,0.299,-7.457,0.0261,0.502,0.0,0.112,0.137,108.159
0EMYTe2oQy70PCKPQFlbVy,Voh Dekhnay Mein,0.815,0.421,-8.125,0.0352,0.491,4.41e-06,0.117,0.543,140.01
0BhH8IeKQa3MW7J3dpl6x0,Ghostbusters - Lo-Fi,0.816,0.596,-11.15,0.451,0.76,0.891,0.348,0.756,116.022
5xQr5TxQ77siaKfuyiJbT0,Hands Up - Single Version,0.888,0.876,-4.249,0.0425,0.61,3.25e-05,0.375,0.992,123.291
5g9IN42ZX2NK6KhOB347V3,Accidental Soccer Coach,0.519,0.535,-14.284,0.935,0.764,0.0,0.706,0.474,135.462
